Coefficients,Instruments
0.7286176,
6.09093,
128.86263,3;1
126.3712,3;1
123.04997,3;1
120.62723,3;1
119.212296,3;1
117.69292,3;1
115.021545,3;1
114.96413,3;1
115.189835,3;1
114.56592,3;1
112.36133,3;1
109.79376,3;1
108.72999,3;1
108.39438,3;1
107.035126,3;1
105.773605,3;1
106.19985,3;1
107.19801,3;1
107.207695,3;1
106.619865,3;1
105.33443,3;1
102.45625,3;1
99.92091,3;1
99.60344,3;1
102.064224,3;1
105.938995,3;1
108.59598,3;1
108.54949,3;1
107.48253,3;1
107.20012,3;1
108.67943,3;1
109.91836,3;1
110.593704,3;1
110.01697,3;1
109.46677,3;1
110.43731,3;1
112.17006,3;1
116.16122,3;1
124.208206,3;1
133.13614,3;1
140.38118,3;1
144.61679,3;1
146.91028,3;1
148.15158,3;1
148.66907,3;1
149.96408,3;1
152.09338,3;1
152.91357,3;1
153.05865,3;1
152.11307,3;1
150.09482,3;1
147.1979,3;1
144.8852,3;1
143.76454,3;1
143.88947,3;1
143.8504,3;1
143.25824,3;1
142.16867,3;1
141.07005,3;1
139.83626,3;1
137.94733,3;1
136.66772,3;1
135.51393,3;1
133.43584,3;1
132.02899,3;1
132.95273,3;1
133.3871,3;1
133.08182,3;1
132.73694,3;1
132.82784,3;1
133.7279,3;1
135.88596,3;1
137.15804,3;1
138.47112,3;1
139.97162,3;1
140.92722,3;1
140.85822,3;1
140.05972,3;1
139.15662,3;1
137.80948,3;1
136.35861,3;1
134.6286,3;1
132.15613,3;1
130.70438,3;1
132.23717,3;1
134.6917,1
135.96216,1
135.81497,1
134.91891,1
134.25371,1
133.37506,1
131.38608,1
127.937744,3;1
122.886246,3;1
118.06291,3;1
115.828766,3;1
117.29418,3;1
119.20978,3;1
120.2961,3;1
122.59912,3;1
125.03048,3;1
127.507385,3;1
131.22281,3;1
134.68874,3;1
137.96713,3;1
140.95895,3;1
142.58722,3;1
142.25137,3;1
140.44604,3;1
139.05124,3;1
138.09583,3;1
136.88007,3;1
133.7904,3;1
131.50171,3;1
132.2323,3;1
132.83832,3;1
131.5809,3;1
128.8703,3;1
126.093185,3;1
123.97815,3;1
122.33522,3;1
121.76174,3;1
121.84666,3;1
121.62565,3;1
119.82564,3;1
117.58715,3;1
115.33145,3;1
114.28488,3;1
116.70787,3;1
121.10939,3;1
124.86412,3;1
125.69154,3;1
125.034424,3;1
127.35574,3;1
132.07443,3;1
138.47568,3;1
144.92032,3;1
149.01443,3;1
150.51422,3;1
150.1962,3;1
148.69215,3;1
146.9876,3;1
146.12668,3;1
146.33627,3;1
144.95572,3;1
142.08218,3;1
140.31378,3;1
139.76268,3;1
140.24818,3;1
138.63101,3;1
135.88612,3;1
134.76697,3;1
134.54434,3;1
133.5553,3;1
130.51625,3;1
126.619835,3;1
123.92555,3;1
122.253815,3;1
120.63611,3;1
118.85221,3;1
119.338326,3;1
124.597626,3;1
131.21039,3;1
137.91629,3;1
143.13153,3;1
145.7909,3;1
147.44492,3;1
148.9414,3;1
150.3962,3;1
150.42181,3;1
148.85727,3;1
146.74704,3;1
144.38907,3;1
141.82034,3;1
140.40054,3;1
141.25113,3;1
142.6995,3;1
144.7674,3;1
147.38376,3;1
148.65479,3;1
147.38107,3;1
144.30826,3;1
140.62668,3;1
137.2846,3;1
134.53247,3;1
133.294,3;1
133.34439,3;1
135.41055,3;1
138.11089,3;1
139.10172,3;1
138.14108,3;1
138.20782,3;1
140.51988,3;1
142.37503,3;1
143.13397,3;1
142.2968,3;1
140.98067,3;1
140.86282,3;1
142.35489,3;1
144.11249,3;1
144.35841,3;1
142.5103,3;1
139.6688,3;1
136.70047,3;1
136.01282,3;1
136.06355,3;1
134.29994,3;1
131.49377,3;1
129.53505,3;1
130.5506,3;1
133.78537,3;1
136.6102,3;1
138.62012,1
140.30789,1
140.87257,1
139.68976,1
136.36107,1
132.45819,1
130.83664,1
131.26819,3;1
130.99472,3;1
130.12195,3;1
128.61874,3;1
126.97856,3;1
127.29181,3;1
128.50269,3;1
131.01385,3;1
133.84909,3;1
136.94981,3;1
140.29669,3;1
141.98196,3;1
142.33853,3;1
142.67609,3;1
143.15295,3;1
143.33841,3;1
141.4567,3;1
139.864,3;1
139.74628,3;1
138.60452,3;1
137.38641,3;1
136.9942,3;1
137.48895,3;1
137.45746,3;1
136.53552,3;1
135.66925,3;1
134.67197,3;1
134.73846,3;1
136.2669,3;1
137.65988,3;1
136.58444,3;1
133.74692,3;1
130.9898,3;1
129.31505,3;1
128.37405,3;1
126.36836,3;1
124.45526,3;1
127.36011,3;1
134.17572,3;1
140.35641,3;1
144.72601,3;1
147.29611,3;1
150.14133,3;1
152.00732,3;1
151.21495,3;1
149.39417,3;1
148.71199,3;1
147.46042,3;1
143.45042,3;1
138.1866,3;1
134.75012,3;1
133.01515,3;1
131.38382,3;1
130.36996,3;1
130.43866,3;1
129.90434,3;1
128.25172,3;1
125.34383,3;1
121.45842,3;1
117.299225,3;1
114.50638,3;1
114.51068,3;1
114.97255,3;1
114.3947,3;1
113.89809,3;1
113.44786,3;1
113.429794,3;1
113.22582,3;1
112.51614,3;1
113.53955,3;1
124.79713,3;1
141.77438,3;1
152.94063,3;1
159.04623,3;1
163.0347,3;1
165.97522,3;1
167.30695,3;1
166.93661,3;1
165.84355,3;1
165.06627,3;1
165.4367,3;1
165.96304,1
165.58006,1
165.90952,1
166.52225,1
166.84938,1
166.42355,1
164.26912,1
160.85728,1
158.80762,1
160.13943,1
162.87112,1
166.26956,1
168.504,1
168.51822,1
167.78308,1
167.193,1
167.3858,3;1
166.56998,3;1
165.15971,3;1
164.58571,3;1
164.41742,3;1
162.5808,3;1
160.34637,3;1
159.69511,3;1
161.58275,3;1
164.20844,3;1
165.27765,3;1
164.65326,3;1
164.32352,3;1
164.10562,3;1
162.81369,3;1
159.2659,3;1
157.3852,1
159.68942,1
164.94998,1
167.24628,1
165.50818,1
163.08264,1
161.9028,1
162.66132,1
163.06627,1
161.68707,1
158.59674,1
153.63805,1
147.2455,1
142.04102,1
140.19788,1
141.4511,1
143.11227,1
145.3679,3;1
148.71472,3;1
153.27454,3;1
156.9372,3;1
159.78659,3;1
160.97488,3;1
160.28653,3;1
159.47356,3;1
158.91226,3;1
158.32791,3;1
156.4941,3;1
152.65094,3;1
148.28497,3;1
143.9881,3;1
141.9772,3;1
140.98335,3;1
138.3418,3;1
134.70833,1
131.92627,1
131.37067,1
132.37845,1
131.36339,1
127.1147,1
120.805984,1
114.784676,1
110.20499,1
110.20648,1
112.08181,1
113.322815,1
114.59985,1
116.438416,1
118.72522,1
122.26013,1
128.51447,3;1
136.93547,3;1
145.62085,3;1
154.79483,3;1
161.27243,3;1
163.45961,3;1
162.14938,3;1
158.40991,3;1
155.1134,3;1
154.10913,3;1
151.8439,3;1
148.81703,3;1
147.06424,3;1
145.52808,3;1
142.52608,3;1
138.95302,3;1
135.8559,3;1
132.78256,3;1
129.86037,3;1
127.7115,1
126.63899,1
125.26468,1
123.05705,1
120.5853,1
117.089584,1
113.012405,1
110.42933,1
114.415344,1
123.106995,1
135.17624,1
146.00073,3;1
154.4314,3;1
160.34747,3;1
163.25864,3;1
163.86095,3;1
164.22075,3;1
164.59189,3;1
164.5202,3;1
163.14218,3;1
160.27643,3;1
157.58609,3;1
156.80586,3;1
156.1208,3;1
153.7456,3;1
150.78015,1
150.89319,1
154.78232,1
157.37148,1
157.90903,1
157.64339,1
157.3279,1
156.84471,1
157.62119,1
158.84302,1
159.43585,1
158.3028,1
155.88849,1
154.68387,1
154.1713,1
153.08267,3;1
152.41583,3;1
151.97354,3;1
152.99557,3;1
155.81577,3;1
158.98453,3;1
161.36084,3;1
162.03668,3;1
160.03288,3;1
156.20807,3;1
150.84698,3;1
147.13858,3;1
146.02444,3;1
143.4245,3;1
138.92386,3;1
136.35654,3;1
140.3491,1
145.88394,1
150.00092,1
151.55823,1
150.47128,1
147.62918,1
144.031,1
140.63565,1
136.94925,1
132.65163,1
128.66792,1
126.256325,1
125.096725,1
123.622894,3;1
121.025986,3;1
120.00102,3;1
124.71476,3;1
133.59425,3;1
143.1561,3;1
150.6951,3;1
154.43295,3;1
154.5383,3;1
152.48128,3;1
150.29208,3;1
149.03986,3;1
148.04993,3;1
145.66052,3;1
142.49878,3;1
139.64069,3;1
137.42838,3;1
136.06311,1
133.87225,1
130.73196,1
128.47942,1
127.990524,1
127.78201,1
125.351364,1
120.98286,1
117.85878,1
116.87564,1
116.18152,1
114.00887,1
110.9538,1
108.550064,1
108.49702,3;1
109.36801,3;1
113.23566,3;1
121.34734,3;1
129.89404,3;1
136.07904,3;1
139.90726,3;1
143.4723,3;1
147.26447,3;1
149.20784,3;1
148.45193,3;1
145.55518,3;1
140.41628,3;1
134.35194,3;1
130.65532,3;1
130.13849,3;1
130.34518,3;1
129.85184,3;1
128.94798,3;1
126.63243,3;1
123.99007,1
122.7777,1
122.3423,1
121.051735,1
118.56348,1
116.011765,1
113.58836,1
110.97309,1
107.44475,1
103.35715,1
99.99537,1
98.298874,1
99.18071,1
104.08644,1
110.667725,1
117.26965,1
121.93944,3;1
125.18204,3
127.94643,3
130.32556,3
131.5118,3
131.22615,3
132.01465,3
135.58456,3
138.91068,3
139.99426,3
139.61139,3
138.74496,3
136.30217,3
132.0804,3
128.95831,3
129.68692,3
133.1965,3
136.48416,3
137.05258,3
134.77028,3
131.00046,3
128.14194,3
127.043564,3
125.49327,3
123.32796,3
122.786804,3
125.41384,3
128.37927,3
130.94751,3
135.01352,3
139.64603,3
143.40944,3
145.63298,3
147.29163,3
149.09857,3
150.29483,3
151.10349,3
151.6644,3
152.15054,3
151.6839,3
149.34373,3
146.20885,3
143.77444,3
142.86597,3
141.76842,3
140.52219,3
140.25781,3
140.28299,3
140.57727,3
140.4754,3
139.3511,
137.50278,
133.87991,
129.90689,
127.913086,
128.13559,
128.61899,
128.66652,3
129.50043,3
131.19589,3
134.47665,3
138.29764,3
141.5458,3
145.03964,3
148.10074,3
148.53246,3
145.91524,3
141.16971,3
138.34302,3
138.51643,3
138.59808,3
137.4858,3
135.73859,3
133.30162,3
130.45691,3
126.89815,3
124.808044,3
123.02443,3
120.0733,3
116.634,3
113.10899,3
111.04426,3
110.40622,3
109.443695,3
106.46768,3
103.6054,3
102.74989,3
101.839386,3
104.930984,3
111.23088,3
118.95948,3
125.24101,3
127.26932,3
126.01514,3
127.57855,3
133.76796,3
138.98181,3
142.20416,3
143.4473,3
143.1377,3
142.09991,3
140.63686,3
137.76933,3
134.85428,3
132.9075,3
132.55685,3
133.07278,3
132.69617,3
131.05807,3
128.47107,3
126.37318,3
124.0889,3
120.23334,3
116.82221,3
114.87798,3
113.50804,3
113.0605,3
112.17764,3
110.76779,3
110.205315,3
110.21031,3
111.307274,3
116.498055,3
124.32495,3
132.82202,3
141.08353,3
148.6131,3
153.56618,3
156.54941,3
159.36374,3
161.4742,3
161.58357,3
160.55646,3
160.05235,3
159.59448,3
160.11423,3
161.31924,3
163.10858,3
164.99039,3
166.32031,3
167.8123,3
169.30994,3
169.52692,3
169.6246,3
169.85765,3
168.71461,3
166.2919,3
163.21902,3
160.1659,3
156.89326,3
152.11209,3
147.06921,3
145.12268,3
147.00699,3
149.85625,3
153.53299,
156.49023,
158.15375,
159.12166,
159.1063,
157.88156,
154.12686,
150.25357,3
144.8208,3
138.82474,3
135.4927,3
135.86334,3
139.48267,3
143.7883,3
148.16716,3
151.85318,3
154.2733,
154.90387,
153.3111,
149.84888,
144.9118,
140.09052,
137.94217,
136.26067,3
133.54524,3
131.11249,3
132.4999,3
137.55203,3
144.31259,3
150.4971,3
153.63823,3
154.3223,3
154.87517,3
156.12265,3
157.14365,3
156.28845,3
154.78946,3
152.32489,3
149.90804,3
147.96303,3
145.36938,3
143.53064,3
143.91714,3
145.3465,3
146.67308,3
147.19133,3
146.58173,3
144.58662,3
142.50626,3
140.28867,3
138.24634,3
136.63928,3
135.06934,3
133.84964,3
132.68536,3
132.02444,3
134.68173,3
139.60886,3
143.61757,3
146.02127,3
147.92975,3
150.02618,3
152.78165,3
154.77054,3
154.55118,3
152.70294,3
150.1301,3
146.75995,
142.27737,
138.26498,
135.26595,
133.62976,
132.2757,
131.07681,
128.92267,
127.00994,
125.63319,
122.5478,
118.84244,
115.93556,
113.384056,
110.34213,
107.70469,
106.86403,
109.69859,3
116.39749,3
123.35733,3
127.96667,3
130.36192,3
130.58304,3
130.50601,3
131.70258,3
134.83598,3
138.50638,3
141.30661,3
142.75638,3
141.60995,3
139.73744,3
139.3906,3
139.3646,3
140.12991,3
143.66481,3
146.7088,3
147.33331,3
145.94846,3
143.85292,3
142.45932,3
140.6052,3
137.75314,3
135.41144,3
133.75269,3
134.67511,3
136.22258,3
136.64238,3
135.2393,3
133.6008,3
133.54358,3
134.80377,3
136.38017,3
137.29002,3
137.36696,3
137.70715,3
139.25116,3
140.38008,3
140.68727,3
141.11548,3
141.68336,3
141.34024,3
141.60544,3
142.7102,3
142.2174,3
140.68605,3
138.6322,3
137.16678,
136.10791,
135.07858,
133.68362,
132.24591,
130.50073,
128.37943,
127.40977,3
128.2415,3
129.62675,3
130.42758,3
129.67316,3
130.2785,3
133.37216,3
136.50865,3
136.50592,3
135.99542,3
135.80255,3
135.70998,3
136.71167,3
137.54076,3
137.39804,3
136.29578,3
134.72751,3
132.90121,3
132.51678,3
133.83792,3
133.66971,3
131.35063,3
128.50075,3
126.077965,3
123.8898,3
121.68561,3
120.257385,3
119.98775,3
118.395325,3
115.28223,3
111.52754,3
108.196846,3
106.18122,3
104.53438,3
103.42012,3
103.09157,3
101.394714,3
98.27385,3
100.55968,3
108.008835,3
115.83264,3
123.50304,3
129.17918,3
131.40768,3
130.73991,3
129.2729,3
129.31822,3
131.09555,3
132.34344,3
130.89374,3
127.59868,3
124.967834,3
123.59329,3
122.09578,3
120.03859,3
119.65259,3
120.377655,3
119.81824,3
118.04033,3
117.0405,3
115.919685,3
113.31018,3
109.39911,3
105.24383,3
101.28311,3
97.651566,3
95.00955,3
94.66765,3
101.605804,3
113.24342,3
123.645355,3
131.62675,3
137.80923,3
143.30864,3
148.10303,3
152.64482,3
157.00679,3
160.64626,3
164.06424,3
166.29974,3
167.15578,3
166.70941,3
164.346,3
160.44797,3
156.53397,3
153.58163,3
151.41165,3
149.9461,3
150.64163,3
153.15735,3
156.37173,3
158.67409,3
159.71913,3
159.68465,3
158.79544,3
157.36273,3
154.31451,3
149.8559,3
145.91592,3
143.91685,3
144.89731,3
147.45152,3
150.08662,
151.92331,
153.93553,
155.7146,
155.19476,
152.53723,
149.5406,
146.47261,3
143.7078,3
141.93352,3
138.22913,3
135.21368,3
135.74773,3
139.39789,3
144.98749,3
149.01372,3
149.00354,
149.00545,
151.27853,
154.99718,
155.85287,
153.35664,
150.35957,
146.10596,3
141.83157,3
140.05103,3
141.52881,3
144.50095,3
147.25562,3
151.1511,3
156.05997,3
160.63727,3
162.9945,3
161.49301,3
156.81616,3
152.64725,3
150.64897,3
149.20358,3
148.46075,3
149.15619,3
151.06613,3
152.8371,3
153.41275,3
153.62964,3
153.46266,3
152.05539,3
149.91782,3
148.94862,3
149.27032,3
149.72324,3
148.2943,3
145.66225,3
145.57556,3
146.73355,3
148.10007,3
149.54224,3
150.14635,3
150.10052,3
149.78683,3
150.18634,3
151.5518,3
153.50021,3
155.71794,3
157.5166,3
158.52994,3
158.14859,3
156.59746,3
154.03735,3
151.01218,3
148.75778,3
147.2261,3
145.79263,3
143.997,3
141.7699,3
139.05733,
136.22699,
133.66116,
132.01602,
130.2443,
127.012535,
121.66293,
115.86403,
112.19757,
111.715195,
111.87752,
110.61124,
108.07164,
105.65529,
105.88862,
115.206055,1
132.68123,1
146.94765,1
157.28781,1
163.47806,1
165.78952,1
166.00684,1
165.97873,1
166.27802,1
165.03754,1
163.16644,1
163.06621,1
163.81044,1
165.83679,1
168.55519,1
170.13412,1
171.21574,1
170.66328,1
169.23814,1
168.4563,1
168.65031,1
168.55872,1
166.22302,1
161.78607,1
157.67456,1
155.44524,1
154.44041,1
154.02498,1
156.6779,1
163.80196,1
169.08801,1
171.72684,1
173.84024,1
175.72833,1
175.57863,1
173.34097,1
171.44656,1
170.586,1
168.83044,1
165.56961,1
161.44894,1
156.40921,1
151.45662,1
147.47769,1
144.76495,1
146.28061,1
150.10211,1
153.78856,1
155.99052,1
155.52238,1
153.22409,1
150.27484,1
148.07843,1
147.10268,1
146.01343,1
143.27374,1
138.707,1
134.4012,
131.00584,
129.06049,
128.98785,
130.77394,
136.2195,
143.54965,1
148.69702,1
150.78546,1
151.116,1
151.46413,1
152.46811,1
154.5264,1
154.52057,1
151.36511,1
147.08868,1
143.06607,1
141.01828,1
141.51114,1
141.24048,1
139.9511,1
138.96997,1
138.41528,1
137.44107,1
134.51535,1
130.58209,1
126.71619,1
122.03129,1
116.89229,1
113.07584,1
110.78487,1
108.877655,1
106.33037,1
102.80435,1
102.44799,1
112.407974,1
123.733734,1
134.37349,1
143.79755,1
149.96625,1
152.67007,1
152.83232,1
153.43217,1
154.68918,1
155.43909,1
155.22998,1
153.66586,1
151.02982,1
148.39314,1
145.18097,1
141.58524,1
137.55188,1
132.56218,1
128.62952,1
127.842415,1
127.983795,1
126.29326,1
123.73755,1
122.20723,1
121.584076,1
121.34882,1
119.96773,1
116.101364,1
116.94845,1
129.48538,1
147.4398,1
164.40015,1
174.82407,1
178.61322,1
178.14505,1
176.86227,1
177.65912,1
178.39755,1
178.30557,1
177.87772,1
177.18552,1
176.68518,1
174.6315,1
172.14856,1
173.14935,1
176.86409,1
180.99382,1
183.90262,1
183.76775,1
180.9808,1
178.86348,1
178.47964,1
178.28006,1
176.98004,1
173.88087,1
169.87375,1
167.8613,1
168.36414,1
171.03543,1
175.95322,1
180.06305,1
181.59033,1
180.7959,
178.18991,
175.33812,
173.8611,
173.35431,
172.50641,
169.83609,
166.12582,1
165.16669,1
168.52399,1
173.16345,1
177.34174,1
179.90553,1
180.77988,1
180.20233,1
178.09299,
175.28084,
172.10739,
167.86888,
164.4285,
162.2348,
161.43164,1
161.01785,1
158.61789,1
156.01582,1
156.0242,1
157.75677,1
158.60149,1
158.55507,1
157.7876,1
154.85901,1
151.83336,1
149.42082,1
146.6117,1
144.32411,1
143.30392,1
144.01962,1
144.35214,1
143.75117,1
144.21411,1
144.45354,1
143.40134,1
142.9197,1
143.02214,1
143.46262,1
143.65344,1
142.45825,1
140.77846,1
138.97086,1
137.5297,1
136.84918,1
136.83781,1
136.56024,1
135.11952,1
133.19165,1
131.69235,1
130.01138,1
130.26303,1
138.90741,1
149.21725,1
156.45071,1
159.55876,1
159.67651,1
158.83908,1
157.62598,1
156.48224,1
155.24911,1
153.71364,1
150.9969,1
147.28815,1
143.06158,1
139.0985,1
136.11139,1
133.28436,1
128.88599,
122.79581,
118.54328,
118.5197,
119.31566,
118.10408,
115.81924,
114.389786,
113.87761,
113.173615,
114.77658,
123.5401,
135.04094,
147.07976,
157.6,1
165.83879,1
171.62692,1
174.16095,1
174.03256,1
174.09149,1
175.28317,1
175.96751,1
175.57376,1
175.50545,1
175.60672,1
175.91635,1
176.51047,1
175.8671,1
174.45088,1
173.39754,1
172.16484,1
169.75294,1
167.40674,1
166.92415,1
166.77054,1
166.4214,1
165.01746,1
162.74298,1
160.17308,1
161.01512,1
166.00912,1
170.64807,1
173.69849,1
175.06659,1
176.2749,1
177.05984,1
177.55746,1
177.98727,1
177.38191,1
174.94034,1
171.84021,1
169.97144,1
168.36798,1
166.20987,1
162.83841,1
157.7737,1
152.92032,1
153.48059,1
158.54785,1
161.39563,1
160.30803,1
156.56296,1
152.84442,1
151.0821,1
150.48735,1
150.51596,1
150.56143,1
148.76721,1
145.07776,1
141.8488,1
140.40239,1
141.9855,1
148.02652,1
153.81418,1
156.34807,1
156.51845,1
155.91002,
156.03448,
156.64539,
156.867,
155.66577,
151.95938,
146.88638,
142.62741,1
140.27377,1
139.29596,1
137.31168,1
133.48415,1
128.84653,1
125.52603,1
123.85945,1
121.378685,1
117.626495,1
114.9846,1
112.43817,1
109.588875,1
108.07204,1
108.440445,1
107.93422,1
106.720215,1
105.16631,1
103.301575,1
100.39004,1
99.371574,1
115.51982,1
132.97166,1
144.2804,1
150.27577,1
151.83096,1
151.1825,1
150.99498,1
151.81702,1
153.69801,1
154.07086,1
152.40242,1
150.36241,1
149.53436,1
149.27704,1
147.8836,1
145.38802,1
141.49438,1
136.96335,1
132.52719,1
129.37915,1
127.74745,1
125.87736,1
123.68411,1
120.46202,1
115.78416,1
110.32294,1
104.87411,1
100.03435,1
96.089806,1
92.8742,1
90.56513,1
96.34167,1
112.21045,1
129.2888,1
141.89697,1
150.24193,1
155.74469,1
160.02481,1
163.54161,1
164.58069,1
162.55386,1
158.96362,1
155.6789,1
152.55911,1
149.38933,1
146.82132,1
146.99313,1
149.27197,1
152.70966,1
157.2012,1
160.19424,1
162.56189,1
163.73143,1
163.1159,1
161.24518,1
157.30095,1
152.02127,1
147.25873,1
145.24747,1
144.90958,1
144.95741,1
146.02069,1
148.35153,1
151.33401,1
153.5762,1
153.96457,1
152.92365,1
151.98512,1
151.5119,1
150.79364,1
149.01312,1
146.11322,1
142.63956,1
138.15741,
134.4978,
135.65883,
141.23761,
145.58316,
148.3695,
150.50201,1
150.84128,1
149.99094,1
148.21257,1
146.15189,1
143.45581,1
140.38516,1
137.31007,1
133.71161,1
129.94498,1
129.25217,1
131.59357,
133.27777,
135.71024,
139.86317,
142.94391,
144.84645,
145.04364,1
144.49149,1
143.51448,1
142.37137,1
141.20963,1
139.353,1
137.34982,1
136.14676,1
136.46548,1
136.86407,1
137.12607,1
137.90927,1
138.45032,1
136.84259,1
133.86124,1
131.29982,1
129.74927,1
127.817444,1
124.928345,1
122.157135,1
120.211624,1
119.4229,1
120.11333,1
120.57733,1
121.20595,1
125.14487,1
129.28343,1
134.11621,1
139.92308,1
142.58118,1
142.2027,1
142.4566,1
145.47592,1
148.67612,1
149.07758,1
146.00903,1
141.93826,1
138.67877,1
136.25612,1
134.94951,1
133.77255,1
132.61807,1
131.16243,1
129.53403,1
129.46576,
130.71294,
131.1178,
130.74432,
130.31244,
129.3704,
127.7491,
126.02185,
124.71621,
126.50248,
131.15065,
135.7427,3
139.05763,3
142.31453,3
144.21738,3
144.42372,3
141.90329,3
138.63373,3
137.76347,3
138.8901,3
141.00195,3
143.40771,3
143.7567,3
141.77032,3
138.11215,3
133.80032,3
131.03319,3
130.42851,3
131.21127,3
132.91452,3
135.27417,3
136.69916,3
136.92665,3
136.16075,3
134.50478,3
132.1557,3
130.07944,3
129.02353,3
128.23212,3
127.551384,3
128.17294,3
131.47748,3
135.26004,3
137.06866,3
138.2272,3
139.08691,3
141.24837,3
145.53604,3
150.03098,3
153.75778,3
156.47058,3
157.431,3
155.95755,3
151.48752,3
146.463,3
142.20163,3
138.52737,3
137.3791,3
138.89233,3
141.13931,3
143.39392,3
145.20801,3
145.90704,3
145.71156,3
143.95184,3
140.76044,
136.35883,
132.09595,
127.73591,
124.03893,
122.41936,
122.46514,
125.64116,3
131.03143,3
135.6261,3
140.46655,3
145.26254,3
149.487,3
152.16113,3
152.56525,3
151.16382,3
149.33716,3
146.45088,3
143.12271,3
140.01895,3
135.93094,3
132.90399,3
132.61261,3
133.39552,3
132.31125,3
129.60367,3
126.72095,3
123.74913,3
120.5387,3
118.462204,3
117.25453,3
115.224945,3
111.67168,3
107.37761,3
104.06196,3
103.358284,3
107.10261,3
112.495056,3
116.54082,3
122.0915,3
127.70012,3
132.45764,3
136.45825,3
139.59286,3
141.50172,3
142.44283,3
143.90128,3
145.71661,3
146.24751,3
144.36377,3
139.11197,3
130.80132,3
124.70569,3
123.28905,3
124.376205,3
125.94319,3
128.42348,3
130.17747,3
129.95744,3
127.25033,3
122.55005,3
118.076416,3
115.32297,3
113.905914,3
114.37667,3
117.34343,3
119.546295,3
120.4505,3
124.33998,3
129.01984,3
133.9392,3
140.91742,3
147.708,3
153.05603,3
156.43645,3
158.3964,3
159.84952,3
160.40903,3
160.66422,3
160.30017,3
159.26135,3
158.67583,3
158.992,3
159.93883,3
160.56947,3
161.43134,3
163.12772,3
164.20761,3
165.14313,3
165.76428,3
165.37039,3
164.14667,3
161.40067,3
157.50967,3
154.45572,3
152.93759,3
152.41617,3
151.3368,3
149.81078,3
148.98773,3
150.39278,3
154.43835,3
158.44998,3
161.17575,3
161.54013,3
159.04388,3
155.06905,3
150.992,3
147.71068,
142.85542,
136.99986,
136.79517,
140.84473,
145.10876,3
149.3808,3
153.81824,3
156.46117,3
157.48016,3
158.60971,3
159.55325,3
157.99327,
153.66292,
149.27725,
146.34879,
145.13547,
144.37744,
143.768,
143.68843,3
144.81375,3
146.66678,3
150.5758,3
155.11206,3
157.72708,3
158.13962,3
157.58395,3
157.15033,3
157.44817,3
157.06169,3
154.8999,3
152.07376,3
149.41078,3
147.3737,3
146.14644,3
145.3534,3
144.09637,3
143.06244,3
142.22629,3
140.7579,3
139.835,3
139.82535,3
138.71588,3
136.14673,3
134.1222,3
133.35422,3
132.6673,3
132.2372,3
134.0219,3
137.7401,3
141.63708,3
144.88129,3
148.55847,3
151.77567,3
152.60767,3
152.21672,3
152.09766,3
151.87395,3
150.94806,3
150.35135,3
148.64426,3
146.28882,3
142.5744,
137.76933,
134.0615,
132.26974,
130.83911,
129.04008,
126.9214,
123.70174,
121.0968,
119.15863,
116.13607,
111.853226,
107.25876,
105.77171,3
104.766556,3
106.184204,3
112.30673,3
121.234245,3
127.905396,3
131.2347,3
132.7161,3
134.73477,3
138.01688,3
140.21156,3
141.47853,3
142.47202,3
142.52853,3
141.43002,3
140.53809,3
140.35138,3
140.62914,3
