Coefficients,Instruments
11.599236,
22.690601,
173.12933,8;9
171.8627,8;9
168.2619,8;9
164.90038,8;9
161.52417,8;9
158.5315,8;9
157.35632,8;9
158.66534,8;9
161.6686,8;9
162.91443,8;9
159.82884,8;9
153.25198,8;9
145.87218,8;9
140.47327,8;9
138.16234,8;9
139.18527,8;9
141.54703,8;9
143.2291,8;9
143.12419,8;9
141.48373,8;9
139.59122,8;9
138.90427,8;9
136.91943,8;9
137.3783,8;9
144.65262,8;9
153.99178,8;9
161.38593,8;9
165.3515,8;9
165.32732,8;9
162.32928,8;9
158.29521,8;9
155.75137,8;9
155.82083,8;9
157.73834,8;9
161.85168,8;9
168.04901,8;9
172.11359,8;9
172.86554,8;9
172.50378,8;9
171.72815,8;9
172.00558,8;9
172.88425,8;9
173.37773,8;9
174.07869,8;9
176.83868,8;9
179.86493,8;9
181.66919,8;9
182.1926,8;9
181.01392,8;9
176.64127,8;9
171.54251,8;9
166.94963,8;9
164.094,8;9
162.63382,8;9
164.47736,8;9
167.00682,8;9
166.43735,8;9
164.41458,8;9
163.32028,8;9
164.68674,8;9
167.09946,8;9
167.20229,8;9
166.44841,8;9
167.62418,8;9
170.84503,8;9
172.65918,8;9
171.76263,8;9
170.39001,8;9
168.6437,8;9
165.66138,8;9
164.95813,8;9
166.32059,8;9
170.59833,8;9
176.22562,8;9
179.94,8;9
182.1951,8;9
182.01727,8;9
180.1249,8;9
176.76741,8;9
171.3734,8;9
165.69742,8;9
162.4527,8;9
161.66263,8;9
164.48642,8;9
170.12997,8;9
175.43002,
177.20146,8;9;7
175.8479,8;9;7
174.07257,8;9;7
173.6546,8;9;7
172.19229,8;9;7
168.93488,8;9;7
164.51505,8;9;7
160.83539,8;9;7
157.5055,8;9;7
152.82867,8;9;7
149.27231,8;9;7
146.62569,8;9;7
143.2688,8;9;7
141.70056,8;9;7
139.87381,8;9;7
137.07489,8;9;7
133.86072,8;9;7
131.38396,8;9;7
129.9531,8;9;7
128.40308,8;9;7
126.06209,
122.72686,
120.51973,
118.47615,
115.522964,
112.01548,
108.99776,
106.47394,
103.875946,
101.141495,
97.38922,
94.30907,
106.479,
138.89615,
160.47064,
168.67624,
169.84766,
167.3558,
164.24574,
163.07863,
161.43484,
157.89693,
153.99295,
150.4773,
146.4552,
141.3217,
137.47316,
134.07527,
131.40201,
128.8696,
125.403076,
123.05644,
125.006485,
127.40849,8;9;7
128.47522,8;9;7
136.61163,8;9;7
151.07516,8;9;7
161.54079,8;9;7
168.5271,8;9;7
174.73416,8;9;7
179.04453,8;9;7
180.66425,8;9;7
179.95578,8;9;7
177.1471,8;9;7
173.72563,8;9;7
171.03209,8;9;7
168.76227,8;9;7
166.30203,8;9;7
167.59802,8;9;7
170.24512,8;9;7
171.7272,8;9;7
173.09967,8;9;7
174.10413,
174.20895,
175.05121,
176.65436,
176.58029,
175.07234,
173.00957,
170.53226,
168.20233,
164.72311,
162.41397,
160.87575,
159.99701,
157.59247,
154.45374,
153.97711,
155.66743,
156.62872,
157.2958,8;9;7
158.74486,8;9;7
161.03818,8;9;7
161.20125,8;9;7
158.55394,8;9;7
155.24634,8;9;7
153.70338,8;9;7
152.41312,8;9;7
152.1623,8;9;7
152.50964,8;9;7
151.45114,8;9;7
149.00443,8;9;7
146.79684,8;9;7
146.44604,8;9;7
146.83426,8;9;7
144.9339,8;9;7
141.45035,8;9;7
138.26976,8;9;7
137.48386,8;9;7
136.18576,8;9;7
134.36392,8;9;7
133.50023,8;9;7
133.70236,8;9;7
135.24698,8;9;7
136.18295,8;9;7
137.31699,8;9;7
136.99847,8;9;7
134.5358,8;9;7
132.50626,8;9;7
132.11743,8;9;7
132.3092,8;9;7
132.79483,8;9;7
132.3487,8;9;7
130.24841,8;9;7
130.22237,8;9;7
136.08263,8;9;7
141.30502,8;9;7
143.62338,8;9;7
142.33693,8;9;7
145.17026,8;9;7
148.44202,8;9;7
152.9412,8;9;7
158.19543,8;9;7
162.48282,8;9;7
165.51974,8;9
166.212,8;9
163.93314,8;9
163.03033,8;9
165.0275,8;9;7
167.05295,8;9;7
167.83876,8;9;7
168.97566,8;9;7
171.43422,8;9;7
174.2796,8;9;7
175.34459,8;9;7
173.42923,8;9;7
169.70721,8;9;7
166.42854,9;8;7
163.3966,9;8;7
160.98769,9;8;7
160.56662,9;8;7
162.28662,9;8
167.12253,
172.04941,8;9;7
175.26843,8;9;7
176.4862,8;9;7
175.59692,8;9;7
172.8409,8;9;7
169.33072,8;9;7
165.47345,8;9;7
161.91403,8;9;7
158.27023,8;9;7
154.34995,8
149.73825,8
146.34071,8
143.78413,8
141.88663,8
140.56723,8
139.56375,8
138.881,8
138.80652,8
140.1896,8
145.42621,8
152.47826,8
156.53598,8
157.57784,8;9;7
156.6701,8;9;7
155.19315,8;9;7
154.87479,8;9;7
155.1861,8;9;7
153.75443,8;9;7
149.21086,8;9;7
141.19913,8;9;7
134.64615,8
130.67892,8
127.94519,8
125.26018,8
122.76715,8
120.664566,8
120.238266,
124.991714,
132.90201,
139.07782,
142.74207,8;9;7
145.64885,8;9;7
147.44365,8;9;7
147.21037,8;9;7
146.05873,8;9;7
143.63179,8;9;7
138.93034,8;9;7
130.87051,8;9;7
120.36774,8;9;7
111.82913,8;9;7
108.785324,
106.64791,
106.13395,
105.88431,
105.458954,
107.12698,
111.576965,
116.930115,
123.656265,
132.31856,9;8;7
138.76588,9;8;7
142.34099,9;8;7
142.82391,9;8;7
141.39545,9;8;7
139.75049,9;8;7
136.85947,9;8;7
129.68578,9;8;7
118.889565,
108.79308,
103.66375,
99.58751,
94.66919,
90.45801,
88.85474,
91.971725,
98.434006,
106.94295,
116.377365,8;9;7
125.826614,8;9;7
133.49812,8;9;7
137.73543,8;9;7
139.87094,8;9;7
140.0619,8;9;7
136.29591,8;9;7
127.41651,8;9;7
115.623505,8;9;7
103.9969,8;9;7
99.31201,
98.957954,
97.143555,
93.871475,
90.44711,
87.7108,
90.83061,
96.890045,
105.33104,
115.41058,
123.3094,9;8;7
128.17825,9;8;7
130.74738,9;8;7
131.16791,9;8;7
131.87518,9;8;7
131.34863,9;8;7
126.79976,9;8;7
117.11276,9;8;7
103.785255,9;8;7
95.87545,9;8;7
93.55389,
91.08377,
88.2118,
84.73445,
85.04782,
89.31227,
97.16223,
109.22882,
124.031845,
135.10558,9;8;7
140.57166,9;8;7
142.56033,9;8;7
143.45282,9;8;7
144.0326,9;8;7
142.0914,9;8;7
136.23108,9;8;7
126.72132,9;8;7
115.61737,9;8;7
107.05455,9;8;7
102.50934,
98.27875,
93.101776,
89.29646,
90.65588,
99.86583,
112.80899,
124.4687,
133.40778,
140.89961,8;9;7
146.5697,8;9;7
148.6105,8;9;7
147.94461,8;9;7
147.92902,8;9;7
147.50546,8;9;7
144.36804,8;9;7
138.53998,8;9;7
132.2019,8;9;7
126.51129,8
123.99324,8
122.34247,8
119.5131,8
115.23274,8
112.18993,8
114.21109,8
122.57861,8
136.983,
151.8091,8;9;7
161.34895,8;9;7
165.08691,8;9;7
164.74979,8;9;7
160.57617,8;9;7
155.62126,8;9;7
152.53287,8;9;7
149.21646,8;9;7
147.55138,8;9;7
148.09915,8;7
146.46088,8;7
143.11818,8;7
138.43399,8;7
132.48932,8;7
127.36644,8;7
125.51721,8;7
125.171326,8;7
126.41254,8;7
127.10069,8;7
128.1905,8;7
131.38103,8;7
137.70425,8;9;7
148.71179,8;9;7
158.27904,8;9;7
163.74399,8;9;7
166.31248,8;9;7
166.21893,8;9;7
162.8881,8;9;7
156.9162,8;7
150.64696,8;7
145.58807,8;7
140.41191,8;7
135.06703,8;7
132.5987,8;7
131.31033,8;7
130.22931,8;7
128.6445,8;7
127.67261,8;7
128.3627,8;9;7
130.8355,8;9;7
134.54959,8;9;7
142.15384,8;9;7
151.4677,8;9;7
157.28943,8;9;7
159.06741,8;9;7
157.21191,8;9;7
153.38268,8;9;7
147.97989,8;9;7
142.27625,8;7
138.08577,8;7
134.94531,8;7
132.70511,8;7
130.13208,8;7
127.680984,8;7
126.61592,8;7
126.03328,8;7
125.319435,8;7
125.06556,8;7
126.32378,8;9;7
131.06299,8;9;7
137.09302,8;9;7
141.47684,8;9;7
143.48886,8;9;7
144.44171,8;9;7
145.07326,8;9;7
145.621,8;9;7
146.13934,8;9;7
144.69415,8;9;7
140.31787,8;7
134.40445,7
128.7842,7
125.562195,7
123.708145,7
121.05357,7
118.02349,7
115.276764,7
114.48891,7
116.42258,7
121.8629,8;9;7
132.86636,8;9;7
145.97339,8;9;7
156.14505,8;9;7
161.32086,8;9;7
162.5481,8;9;7
161.88861,8;9;7
160.43172,8;9;7
158.87515,8;9;7
156.52191,8;9;7
152.27065,8;7
145.04568,8;7
136.96213,8;7
131.43019,8;7
127.51684,8;7
122.98697,8;7
117.85133,8;7
114.995514,8;7
114.140656,8;7
116.150635,8;7
120.57644,8;9;7
125.86495,8;9;7
134.38666,8;9;7
144.02808,8;9;7
151.77289,8;9;7
156.82596,8;9;7
159.27429,8;9;7
159.56601,8;9;7
157.58539,8;9;7
152.62952,8;9;7
144.57364,8;7
136.38812,8;7
130.51416,8;7
127.194984,8;7
125.208405,8;7
122.16321,8;7
119.33862,8;7
117.765335,8;7
117.410835,8;7
117.49194,8;7
120.65399,8;9;7
127.34605,8;9;7
138.90903,8;9;7
149.71378,8;9;7
156.87598,8;9;7
160.65697,8;9;7
160.91614,8;9;7
158.70543,8;9;7
154.79936,8;9;7
149.50021,8;7
143.23831,8;7
136.80972,8;7
132.07114,8;7
128.5858,8;7
126.40088,8;7
124.401215,8;7
122.15248,8;7
119.43439,8;7
118.02619,8;7
120.36482,8;9;7
124.22191,9;8;7
130.57074,9;8;7
140.99821,9;8;7
151.73376,9;8;7
159.25714,9;8;7
162.90184,9;8;7
163.35178,9;8;7
161.51167,9;8;7
159.0853,9;8;7
156.1141,9;8;7
152.10272,8;7
145.67372,8;7
138.80339,8;7
132.2251,8;7
126.91621,8;7
125.32695,8;7
125.08011,8;7
126.73593,8;7
127.72821,7
127.869995,7
127.3338,9;8;7
127.88536,9;8;7
133.39621,9;8;7
144.92407,9;8;7
154.67973,9;8;7
160.85355,9;8;7
162.77634,9;8;7
160.90544,8;7
157.68254,8;7
154.0188,8;7
149.01395,8;7
142.57414,8;7
137.4874,8;7
133.94928,8;7
131.65198,8;7
128.48639,8;7
125.45388,8;7
123.818634,8;7
123.59682,8;9;7
124.44405,8;9;7
126.88645,8;9;7
130.87318,8;9;7
135.86679,8;9;7
140.97993,8;9;7
145.45882,8;9;7
148.66212,8;9;7
150.60994,8;9;7
150.53168,8;9;7
149.81647,8;7
149.1069,8;7
147.20338,8;7
142.88342,8;7
136.21803,8;7
129.59435,8;7
125.78622,8;7
124.1537,8;7
123.32074,8;7
124.63845,8;7
131.02344,8;9;7
137.00568,8;9;7
140.98749,8;9;7
145.80298,8;9;7
150.15573,8;9;7
152.26985,8;9;7
152.98953,8;9;7
153.32901,8;9;7
152.71313,8;9;7
153.5321,8;9;7
154.54721,8;7
152.78116,8;7
148.21683,8;7
140.95195,8;7
136.452,8;7
136.90962,8;7
137.0914,8;7
135.2765,8;7
131.27368,8;7
128.43063,8;7
130.34671,8;7
136.74475,8;9;7
146.15514,8;9;7
153.21156,8;9;7
157.26952,8;9;7
159.25433,8;9;7
160.62178,8;9;7
161.3775,8;9;7
161.15195,8;9;7
159.12822,8;9;7
155.63515,8;9;7
151.54948,8;9;7
147.19202,8;7
142.38501,8;7
137.64206,8;7
134.89076,8;7
137.76666,8;7
141.64847,8;7
143.35942,8;7
141.5432,8;7
139.14856,8;7
142.18204,8;7
151.90112,8;9;7
161.14305,8;9;7
166.19806,8;9;7
169.89163,8;9;7
171.42752,8;9;7
171.13596,8;9;7
167.63306,8;9;7
161.33418,8;7
154.24442,8;7
149.52716,8;7
145.37207,8;7
140.95554,8;7
137.75992,8;7
135.43161,8;7
133.7406,8;7
131.27948,8;7
127.45686,8;7
124.28299,8;9;7
123.95796,8;9;7
125.764694,8;9;7
128.47467,8;9;7
130.95694,8;9;7
134.40765,8;9;7
139.57034,8;9;7
145.48499,8;9;7
149.59827,8;9;7
151.8728,8;9;7
151.74248,8;9;7
149.6676,8;7
145.4915,8;7
139.29883,8;7
134.6434,8;7
131.84276,8;7
129.8936,8;7
127.07747,7
123.1635,7
119.78722,7
119.95625,9;8;7
120.99524,9;8;7
121.61215,9;8;7
122.491196,9;8;7
126.068695,9;8;7
134.39818,9;8;7
141.3508,9;8;7
144.71365,9;8;7
145.44495,9;8;7
143.94067,7
139.8776,7
132.8866,7
124.55681,7
117.10368,7
111.46863,7
107.668816,7
104.87065,7
102.12725,7
99.151566,7
98.5009,8;9;7
100.43454,8;9
103.032425,8;9
104.82645,8;9
110.601,8;9
120.99425,8;9
130.87833,8;9
138.2474,8;9
142.31198,8;9
142.74243,
139.60764,
135.43034,
132.30771,
128.99316,
123.90549,
116.417786,
109.518585,
105.1533,
101.45703,
98.793274,8
98.78452,8
100.67244,8
113.64828,8
131.00848,8
144.94391,8
156.92941,8
164.5598,8
167.81268,8
168.20197,8
167.15652,8
164.40588,8
161.55235,8
157.9828,8
153.17325,8
146.88489,8
139.61694,8
133.80336,8
129.53204,8
126.4305,8
123.70453,8
121.6239,8
121.22821,8
124.36898,8
134.7086,8
146.52206,8
156.67667,8
162.15514,8
163.04468,8
161.10556,8
159.57455,8
158.80083,8
156.31735,8
151.88614,8
146.82465,8
141.30014,8
135.99875,8
129.48315,8
123.77201,8
120.36868,8
118.13526,8;9;7
121.62752,8;9;7
135.62605,8;9;7
148.53897,8;9;7
158.54892,8;9;7
164.36983,8;9;7
166.21326,8;9;7
166.01886,8;9;7
165.82986,8;9;7
164.53983,8;9;7
163.93983,8;9;7
166.46263,8;9;7
166.53955,8;9;7
163.16,8;9;7
156.81583,8;9;7
150.79929,8;9;7
150.05447,8;9;7
151.20119,8;9;7
149.42773,8;9;7
145.33987,8;9;7
141.82065,8;9;7
140.63354,8;9;7
146.50533,8;9;7
155.9938,9;8;7
162.95767,9;8;7
166.55037,9;8;7
167.03351,9;8;7
166.57773,9;8;7
167.46352,9;8;7
168.91862,9;8;7
167.6102,9;8;7
162.80788,9;8;7
158.90027,9;8;7
158.46489,9;8;7
157.9655,9;8;7
156.33572,9;8;7
156.49207,9;8;7
158.69807,9;8;7
161.81711,9;8;7
163.59972,9;8;7
166.60681,9;8;7
170.15553,9;8;7
174.1647,9;8;7
177.46127,9;8;7
180.7239,9;8;7
182.03226,9;8;7
181.00449,9;8;7
179.3129,9;8;7
177.02148,9;8;7
174.2589,9;8;7
171.64458,9;8;7
169.27777,9;8;7
166.00014,9;8;7
163.4123,9;8;7
162.36093,9;8;7
162.06964,9;8;7
